broker,test,qos,recv,latency_avg_ms,throughput_avg_msg_s,cpu_avg_percent,mem_avg_MB
emqx,fanin_qos1,1,63436,23.981459766107818,1268.72,290.15510204081636,344.33945578231294
emqx,fanout_qos1,1,1168400,2.4820394182774272,23368.0,225.31797297297297,335.7405405405405
emqx,p2p_qos2,2,450030,20.280850174711702,9000.6,246.09499999999997,364.13918918918915
emqx,p2p_qos0,0,1156271,33.10997463708526,23125.42,208.0344966442953,418.3463087248322
emqx,p2p_qos1,1,731915,9.158609358027746,14638.3,241.27161073825505,369.38523489932885
mosquitto,fanin_qos1,1,932081,91.05812610554878,18641.62,79.55543624161074,259.43629530201343
mosquitto,fanout_qos1,1,1167300,1.7960422782205911,23346.0,48.12216216216216,10.832432432432432
mosquitto,p2p_qos2,2,400538,32.97503276949004,8010.76,72.3443537414966,2.8555986394557826
mosquitto,p2p_qos0,0,1155942,1.4187421263920539,23118.84,58.27826666666667,2.375586666666667
mosquitto,p2p_qos1,1,876799,6.577111765739412,17535.98,83.29561643835616,2.866205479452055
rumqttd,fanin_qos1,1,1157331,3.4055304495658736,23146.62,87.61434210526316,
rumqttd,fanout_qos1,1,1168494,1.7763548497535278,23369.88,63.111788079470195,
rumqttd,p2p_qos2,2,467187,24.661583739774706,9343.74,109.08618421052631,
rumqttd,p2p_qos0,0,1157848,2.2598386325822184,23156.96,88.86490066225166,283.67215894039737
rumqttd,p2p_qos1,1,811115,7.218673820363548,16222.3,105.52107382550335,796.447619047619
rmqtt,fanin_qos1,1,1156161,11.235512705238298,23123.22,123.03892617449664,25.422080536912752
rmqtt,fanout_qos1,1,1167823,1.8865176372250447,23356.46,74.94106666666667,25.0564
rmqtt,p2p_qos2,2,790965,10.172828797297091,15819.3,163.8181081081081,27.625810810810812
rmqtt,p2p_qos0,0,1156948,1.4063952123801235,23138.96,120.80210526315788,23.80986842105263
rmqtt,p2p_qos1,1,1157917,2.453206725199819,23158.34,151.48342105263157,26.468684210526316
nanomq,fanin_qos1,1,161706,738.3553590203476,3234.12,151.49302631578948,24.149342105263155
nanomq,fanout_qos1,1,1167871,3.851195539781221,23357.42,185.26765100671142,5.424711409395973
nanomq,p2p_qos2,2,630013,14.650405471685236,12600.26,220.92418918918918,5.604
nanomq,p2p_qos0,0,1157429,1.858307462311719,23148.58,202.8928476821192,4.933602649006623
nanomq,p2p_qos1,1,1119505,7.569950347051649,22390.1,215.38,5.478828947368421
emqx,fanin_qos1,1,1084460,31.236597632972394,21689.2,269.2160526315789,367.1631578947368
emqx,fanout_qos1,1,1167643,2.129910612003728,23352.86,231.51853333333332,349.8
emqx,p2p_qos2,2,464246,19.630396805052634,9284.92,252.97543046357617,382.06821192052985
emqx,p2p_qos0,0,1159233,19.956413193984407,23184.66,215.6551655629139,382.60596026490066
emqx,p2p_qos1,1,753952,8.906628453850676,15079.04,246.74589403973508,361.34238410596026
mosquitto,fanin_qos1,1,1091774,5.895179057291724,21835.48,77.26328767123287,265.8501369863014
mosquitto,fanout_qos1,1,1167774,1.6659236516799536,23355.48,48.86,1.813337837837838
mosquitto,p2p_qos2,2,412225,32.73924982897731,8244.5,72.68756756756757,2.819054054054054
mosquitto,p2p_qos0,0,1158227,1.1242469681424776,23164.54,57.18973154362416,7.124449664429529
mosquitto,p2p_qos1,1,891991,6.467518663117554,17839.82,83.44328767123287,2.8794931506849317
rumqttd,fanin_qos1,1,1158075,3.5395896430596467,23161.5,93.24926174496643,280.37071140939594
